Date,amundi
2013-07-10,992.71
2013-07-11,1024.5
2013-07-12,1062.55
2013-07-15,1045.09
2013-07-16,1071.98
2013-07-17,1084.08
2013-07-18,1067.3
2013-07-19,1059.18
2013-07-02,1030.04
2013-07-22,1040.25
2013-07-23,1049.27
2013-07-24,1080.37
2013-07-25,1080.01
2013-07-26,1064.4
2013-07-29,1057.52
2013-07-03,1041.79
2013-07-30,1036.96
2013-07-31,1036.01
2013-07-04,1039.94
2013-07-05,1041.85
2013-07-08,1029.95
2013-07-09,996.16
2013-08-01,1047.44
2013-08-12,1099.78
2013-08-13,1126.05
2013-08-14,1126.29
2013-08-16,1113.33
2013-08-19,1094.11
2013-08-02,1083.85
2013-08-20,1116.95
2013-08-21,1110.1
2013-08-22,1107.27
2013-08-23,1110.94
2013-08-26,1101.49
2013-08-27,1122.14
2013-08-28,1124.84
2013-08-29,1108.82
2013-08-30,1109.07
2013-08-05,1079.72
2013-08-06,1096.69
2013-08-07,1106.64
2013-08-08,1095.72
2013-08-09,1094.97
2013-09-10,1142.58
2013-09-11,1147.93
2013-09-12,1142.63
2013-09-13,1144.23
2013-09-16,1143.01
2013-09-17,1143.2
2013-09-18,1123.83
2013-09-19,1119.89
2013-09-02,1096.14
2013-09-20,1119.84
2013-09-23,1119.69
2013-09-24,1144.78
2013-09-25,1136.24
2013-09-26,1124.71
2013-09-27,1108.39
2013-09-03,1103.8
2013-09-30,1108.7
2013-09-04,1118.07
2013-09-05,1113.81
2013-09-06,1112.35
2013-09-09,1116.55
2014-01-10,1046.85
2014-01-13,1035.71
2014-01-14,1036.7
2014-01-15,1059.35
2014-01-16,1064.71
2014-01-17,1057.31
2014-01-02,1070.9
2014-01-20,1046.78
2014-01-21,1037.76
2014-01-22,1051.79
2014-01-23,1075.03
2014-01-24,1076.16
2014-01-27,1089.11
2014-01-28,1074.81
2014-01-29,1077.19
2014-01-03,1077.76
2014-01-30,1088.24
2014-01-31,1067.87
2014-01-06,1071
2014-01-07,1050.31
2014-01-08,1055.18
2014-01-09,1061.53
2014-10-01,1069.79
2014-10-10,1084.04
2014-10-13,1073.41
2014-10-14,1067.15
2014-10-15,1059.61
2014-10-16,1074.85
2014-10-17,1056.45
2014-10-02,1069.74
2014-10-20,1057.65
2014-10-21,1067.64
2014-10-22,1057.82
2014-10-23,1045.97
2014-10-24,1031.1
2014-10-27,1025.64
2014-10-28,1015.45
2014-10-29,1046.5
2014-10-03,1069.7
2014-10-30,1063.8
2014-10-31,1068.67
2014-10-06,1069.55
2014-10-07,1069.5
2014-10-08,1069.45
2014-10-09,1081.27
2014-11-10,1106.44
2014-11-11,1143.43
2014-11-12,1131.94
2014-11-13,1162.2
2014-11-14,1156.83
2014-11-17,1146.35
2014-11-18,1136
2014-11-19,1128.73
2014-11-20,1124.51
2014-11-21,1130.78
2014-11-24,1164.72
2014-11-25,1213.34
2014-11-26,1235.66
2014-11-27,1276.1
2014-11-28,1315.77
2014-11-03,1090.42
2014-11-04,1090.9
2014-11-05,1095.54
2014-11-06,1097.38
2014-11-07,1105.26
2014-12-01,1336.47
2014-12-10,1500.56
2014-12-11,1552.06
2014-12-12,1528.12
2014-12-15,1532.67
2014-12-16,1536.09
2014-12-17,1579.04
2014-12-18,1603.49
2014-12-19,1579.51
2014-12-02,1337.77
2014-12-22,1591.91
2014-12-23,1606.66
